สาขา,เลขที่เอกสาร,รหัสสินค้า,รายการขาย,ยอดรวม,ส่วนลดรายการ,ยอดสุทธิ,ส่วนลดโปรโมชั่น,ส่วนลดบัตรกำนัล,ส่วนลดท้ายบิล,ยอดบิลสุทธิ
001 / สนามบินดอนเมือง,ABB-001-2602/00047,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00048,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00049,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,175
001 / สนามบินดอนเมือง,ABB-001-2602/00050,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00051,1. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,0,0,0,240
,,2. APP001,Chuka Wakame(หน่วย),40,0,40,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00052,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00053,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00054,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00055,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,78
,,2. DES001,Rare Cheese Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00056,1. MINI002,Salmon Aburi Sushi 7 pcs.(หน่วย),230,0,230,0,0,0,240
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00057,1. MED002,Sushi Bento Medium Set 2(หน่วย),420,0,420,0,0,0,680
,,2. DES004,Dorayaki(หน่วย),150,0,150,,,,
,,3. APP005,Tako Wasabi(หน่วย),110,0,110,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00058,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00059,1. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,0,0,0,200
001 / สนามบินดอนเมือง,ABB-001-2602/00060,1. DON015,Salmon Teriyaki Don(หน่วย),250,0,250,0,0,0,250
001 / สนามบินดอนเมือง,ABB-001-2602/00061,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,40
,,2. BEV003,Pepsi (Can) 325ml.(หน่วย),30,0,30,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00062,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00063,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,175
001 / สนามบินดอนเมือง,ABB-001-2602/00064,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00065,1. BEV004,Pepsi Max (Can) 325ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00066,1. BEV004,Pepsi Max (Can) 325ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00067,1. MINI008,Sushi Bento  Veggie 2(หน่วย),165,0,165,0,0,0,165
001 / สนามบินดอนเมือง,ABB-001-2602/00068,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,185
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00069,1. MINI013,Salmon Tuna Ebiko Sandwich Sushi Bento(หน่วย),320,0,320,0,0,0,320
001 / สนามบินดอนเมือง,ABB-001-2602/00070,1. APP007,Kimchi(หน่วย),60,0,60,0,0,0,60
001 / สนามบินดอนเมือง,ABB-001-2602/00071,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00072,1. DON001,Oyakodon(หน่วย),140,0,140,0,0,0,285
,,2. DON010,Buta Kimchi Don(หน่วย),145,0,145,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00073,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00074,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00075,1. DON010,Buta Kimchi Don(หน่วย),145,0,145,0,0,0,145
001 / สนามบินดอนเมือง,ABB-001-2602/00076,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00077,1. DES003,Matcha Red Bean Daifuku(หน่วย),39,0,39,0,0,0,78
,,2. DES002,Yuzu Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00078,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00079,1. MED009,Tuna Varity Set M(หน่วย),420,0,420,0,0,0,420
001 / สนามบินดอนเมือง,ABB-001-2602/00080,1. DON002,Gyu Don(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00081,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00082,1. MED002,Sushi Bento Medium Set 2(หน่วย),420,0,420,0,0,0,1390
,,2. MINI013,Salmon Tuna Ebiko Sandwich Sushi Bento(หน่วย),320,0,320,,,,
,,3. MINI002,Salmon Aburi Sushi 7 pcs.(หน่วย),230,0,230,,,,
,,4. MED009,Tuna Varity Set M(หน่วย),420,0,420,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00083,1. APP001,Chuka Wakame(หน่วย),40,0,40,0,0,0,250
,,2. DON004,Salmon Don(หน่วย),210,0,210,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00084,1. MINI004,Salmon Varity Set S(หน่วย),400,0,400,0,0,0,400
001 / สนามบินดอนเมือง,ABB-001-2602/00085,1. MED004,Sushi Bento Sashimi Varity(หน่วย),840,0,840,0,0,0,1260
,,2. MED002,Sushi Bento Medium Set 2(หน่วย),420,0,420,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00086,1. DON002,Gyu Don(หน่วย),210,0,210,0,0,0,485
,,2. MINI003,Tuna Sushi 7 pcs.(หน่วย),275,0,275,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00087,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00088,1. DON003,Poke Bowl(หน่วย),275,0,275,0,0,0,670
,,2. DON010,Buta Kimchi Don(หน่วย),145,0,145,,,,
,,3. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,,,,
,,4. BEV006,ITOEN Unsweetened Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00089,1. MINI005,Tuna Varity Set S(หน่วย),275,0,275,0,0,0,275
001 / สนามบินดอนเมือง,ABB-001-2602/00090,1. DON007,Buta Teriyaki Don(หน่วย),145,0,145,0,0,0,145
001 / สนามบินดอนเมือง,ABB-001-2602/00091,1. DON005,Aburi Salmon Don(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00092,1. DES003,Matcha Red Bean Daifuku(หน่วย),39,0,39,0,0,0,459
,,2. MED009,Tuna Varity Set M(หน่วย),420,0,420,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00093,1. DON005,Aburi Salmon Don(หน่วย),220,0,220,0,0,0,575
,,2. DON014,Negi Salmon Don(หน่วย),210,0,210,,,,
,,3. DON010,Buta Kimchi Don(หน่วย),145,0,145,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00094,1. BEV008,Sprite (Can) 325ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00095,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00096,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00097,1. BEV002,Asahi Beer (Can) 330 ml.(หน่วย),180,0,180,0,0,0,180
001 / สนามบินดอนเมือง,ABB-001-2602/00098,1. MINI011,Sushi Bento 2 Friends(หน่วย),245,0,245,0,0,0,245
001 / สนามบินดอนเมือง,ABB-001-2602/00099,1. DON009,Unagi Don(หน่วย),385,0,385,0,0,0,385
001 / สนามบินดอนเมือง,ABB-001-2602/00100,1. BEV007,ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,50
001 / สนามบินดอนเมือง,ABB-001-2602/00101,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00102,1. DES003,Matcha Red Bean Daifuku(หน่วย),78,0,78,0,0,0,463
,,2. MED003,Salmon Varity Set  M(หน่วย),385,0,385,,,,
